date;description;montant;tags;image
05/05/2026;Loyer janvier;80000;fixe;
06/05/2026;Carrefour courses;16000;;https://picsum.photos/seed/receipt1/400/300
08/05/2026;Essence Total;12000;voiture;https://picsum.photos/seed/receipt2/400/300
10/05/2026;Orange Money forfait;8000;fixe|internet;
15/05/2026;Pharmacie du Centre;5000;sante;https://picsum.photos/seed/receipt3/400/300
18/05/2026;Avance à Paul pour taxi;6000;remboursable;
22/05/2026;Restaurant Le Maquis;7500;sortie;https://picsum.photos/seed/receipt4/400/300
28/05/2026;Netflix abonnement;4000;fixe|loisir;
05/06/2026;Loyer février;80000;fixe;
06/06/2026;Supermarché Casino;18500;;https://picsum.photos/seed/receipt5/400/300
09/06/2026;Cadeaux anniversaire;45000;evenement|cadeau;https://picsum.photos/seed/receipt6/400/300
12/06/2026;Décorations;9000;evenement;
14/06/2026;Restaurant Saint-Valentin;20000;sortie|evenement;https://picsum.photos/seed/receipt7/400/300
20/06/2026;Uber trajet aéroport;9000;voiture;
25/06/2026;Canal+ abonnement;15000;fixe|loisir;
05/07/2026;Loyer mars;80000;fixe;
06/07/2026;Carrefour courses;16500;;https://picsum.photos/seed/receipt8/400/300
09/07/2026;Taxi client urgent;8000;pro|remboursable|urgent;https://picsum.photos/seed/receipt9/400/300
11/07/2026;Clinique consultation;20000;sante;https://picsum.photos/seed/receipt10/400/300
14/07/2026;MTN forfait internet;6000;fixe|internet;
19/07/2026;Taxi centre-ville;3000;voiture;
26/07/2026;Restaurant anniversaire;25000;sortie|evenement;https://picsum.photos/seed/receipt11/400/300
02/08/2026;Loyer avril;80000;fixe;
04/08/2026;Marché épicerie;9500;;https://picsum.photos/seed/receipt12/400/300
09/08/2026;Billets avion vacances;120000;voyage|vacances-avril;https://picsum.photos/seed/receipt13/400/300
11/08/2026;Hôtel réservation;65000;voyage|vacances-avril;https://picsum.photos/seed/receipt14/400/300
15/08/2026;Peage autoroute;2000;voiture|voyage;
17/08/2026;Restaurant en voyage;18000;voyage|vacances-avril|sortie;https://cette-url-nexiste-pas.invalid/photo.jpg
20/08/2026;Université cours en ligne;30000;fixe|education;
25/08/2026;Souvenirs voyage;12000;voyage|vacances-avril|cadeau;https://picsum.photos/seed/receipt15/400/300
